a,b,obs,expA,expB,null_mean,null_sd,z,ratioA,ratioB
13:0,16:0,46.0,114.98623329527902,74.18150605860347,76.58,8.526054187019925,-3.5866532547441494,0.40004788992325935,0.6201006483160364
13:0,16:1,46.0,66.38707944395944,42.8285490780335,45.12,6.719047551550742,0.13097094390958738,0.6929059146039228,1.0740499267483503
13:0,17:0,46.0,64.98945671882345,41.92689541323279,44.29,6.505067255609277,0.2628719939098983,0.7078071170685234,1.0971477746354115
13:0,17:1,46.0,62.003626351487476,40.00063531115856,40.995,6.5096063629070535,0.7688636948186948,0.7418920909437493,1.149981735094289
13:0,17:2,46.0,62.130682962863474,40.08260382614044,41.365,6.22509236879261,0.7445672650956955,0.7403749292035781,1.1476300342045256
13:0,18:0,46.0,114.35095023839904,73.77166348369406,75.725,9.039876935003042,-3.2882084804609115,0.40227037820061073,0.6235456519177923
13:0,18:1,46.0,117.273252300047,75.65693932827736,77.85,8.733699101755223,-3.646793830302564,0.392246305937757,0.6080076779263413
13:0,18:2,46.0,109.26868578335908,70.49292288441877,73.22,9.070369341983817,-3.000980332080568,0.42098062834947636,0.6525477752628057
13:0,18:3,90.0,119.17910147068699,76.88646705300559,79.085,9.011535662693678,1.2112253014973204,0.7551659551833103,1.1705571012640485
13:0,18:4,45.0,60.79658854341549,39.22193441883068,40.215,5.752284328855799,0.8318434427861101,0.7401731096781035,1.1473172006119932
